               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10571,            0.019209,            0.050721,           0.0021665,             0.46487,           0.0030375,           0.0010335,            0.094714,            0.013668,            0.053242,              0.0874,              0.0014,              0.0014
                   1,            0.092164,            0.023597,            0.045058,             0.64413,             0.16529,             0.05293,            0.017627,            0.081149,            0.014746,            0.043797,            0.073871,           0.0028713,           0.0028713
                   2,            0.083766,            0.023165,             0.03781,             0.90796,             0.14346,             0.18188,            0.065613,            0.078189,            0.013553,             0.03415,            0.060313,           0.0043129,           0.0043129
                   3,            0.077782,            0.021456,            0.031572,             0.93164,             0.17189,             0.19913,            0.074618,            0.075854,            0.013599,            0.028621,            0.046725,           0.0057248,           0.0057248
                   4,             0.07456,            0.020759,            0.027876,             0.98036,            0.080992,             0.17384,            0.058091,            0.069028,            0.013092,            0.020553,            0.033107,            0.007107,            0.007107
                   5,            0.074124,            0.019492,            0.024175,             0.35733,             0.28125,              0.1665,            0.054139,            0.069558,             0.01212,            0.018799,            0.019459,           0.0084594,           0.0084594
                   6,            0.072151,             0.01861,            0.021282,             0.51976,             0.31085,             0.22842,             0.10856,            0.073767,            0.010985,            0.013329,            0.009406,            0.009406,            0.009406
                   7,            0.072792,            0.018428,            0.016812,             0.80358,             0.28678,             0.31139,             0.13774,            0.065278,            0.010506,            0.010647,            0.009406,            0.009406,            0.009406
                   8,            0.067726,            0.017616,            0.014947,             0.44634,             0.56912,             0.62158,             0.23049,            0.063926,            0.010182,             0.00868,            0.009307,            0.009307,            0.009307
                   9,            0.065136,            0.017187,            0.012506,             0.36171,             0.59752,             0.41727,             0.14409,            0.066567,            0.009505,           0.0084727,            0.009208,            0.009208,            0.009208
                  10,            0.063803,            0.016005,            0.011635,             0.41377,             0.69371,             0.59849,             0.24267,            0.059315,           0.0092241,           0.0074195,            0.009109,            0.009109,            0.009109
                  11,            0.060962,            0.015591,            0.010068,             0.39727,             0.61338,             0.46274,             0.17648,            0.061268,           0.0087048,           0.0080292,             0.00901,             0.00901,             0.00901
                  12,             0.05597,            0.015766,           0.0094569,             0.41698,             0.82445,             0.61035,             0.25352,            0.055711,           0.0086038,           0.0061844,            0.008911,            0.008911,            0.008911
                  13,            0.055365,            0.013509,            0.008851,             0.46155,             0.70871,             0.69103,             0.28721,             0.05362,           0.0082633,           0.0056714,            0.008812,            0.008812,            0.008812
                  14,            0.054546,            0.015417,           0.0090225,             0.54578,             0.76769,             0.69556,             0.33814,            0.047063,           0.0080785,           0.0055864,            0.008713,            0.008713,            0.008713
                  15,             0.05363,            0.013874,           0.0086066,              0.4583,             0.91007,             0.71783,             0.30017,            0.050481,           0.0076613,           0.0050518,            0.008614,            0.008614,            0.008614
                  16,            0.052161,            0.013618,           0.0080672,             0.78281,             0.88896,             0.83356,             0.36628,            0.049287,           0.0071852,           0.0049904,            0.008515,            0.008515,            0.008515
                  17,            0.052328,            0.013022,           0.0073465,             0.63208,             0.93839,             0.84159,             0.39372,            0.045441,           0.0073176,           0.0046549,            0.008416,            0.008416,            0.008416
                  18,            0.049359,            0.012975,           0.0067272,              0.6783,             0.75822,             0.77033,             0.40378,            0.046711,           0.0069401,           0.0045953,            0.008317,            0.008317,            0.008317
                  19,            0.048222,            0.012522,            0.006725,             0.73675,             0.95332,             0.84137,             0.40912,            0.043632,           0.0068924,           0.0042675,            0.008218,            0.008218,            0.008218
                  20,            0.045545,             0.01234,           0.0067408,             0.79193,             0.92993,             0.90049,             0.48813,            0.039788,           0.0066221,           0.0043042,            0.008119,            0.008119,            0.008119
                  21,             0.04495,            0.012064,           0.0061446,             0.75736,             0.92725,             0.85066,             0.44708,            0.042052,           0.0064375,           0.0044295,             0.00802,             0.00802,             0.00802
                  22,            0.046865,            0.011498,           0.0069574,             0.81916,             0.94473,             0.92488,             0.49439,            0.042069,           0.0068634,           0.0045459,            0.007921,            0.007921,            0.007921
                  23,            0.043826,            0.011693,            0.006308,               0.794,             0.97918,             0.93632,             0.41894,            0.042266,           0.0065664,           0.0044208,            0.007822,            0.007822,            0.007822
                  24,            0.045744,            0.012196,             0.00682,             0.81337,             0.94599,             0.93198,             0.53597,            0.033168,           0.0062755,           0.0044742,            0.007723,            0.007723,            0.007723
                  25,            0.042264,            0.011774,           0.0058698,             0.75632,             0.93518,             0.85925,             0.40363,            0.044905,           0.0063262,           0.0044374,            0.007624,            0.007624,            0.007624
                  26,            0.041354,             0.01112,           0.0059955,             0.83778,             0.94123,              0.9036,             0.49188,            0.038553,           0.0060114,           0.0040671,            0.007525,            0.007525,            0.007525
                  27,            0.041577,            0.011327,           0.0057207,             0.77243,             0.94695,             0.88816,             0.45255,            0.036323,            0.006209,           0.0039816,            0.007426,            0.007426,            0.007426
                  28,            0.040625,             0.01098,           0.0057276,             0.86712,             0.96205,             0.89803,             0.49819,            0.036904,           0.0060354,           0.0038238,            0.007327,            0.007327,            0.007327
                  29,            0.040682,            0.010991,            0.005565,             0.75902,             0.95134,             0.91575,             0.48155,            0.037313,           0.0059899,             0.00394,            0.007228,            0.007228,            0.007228
                  30,            0.038683,            0.010902,           0.0056481,              0.9397,             0.96412,             0.98711,             0.59471,            0.031904,           0.0057469,           0.0038149,            0.007129,            0.007129,            0.007129
                  31,            0.038032,            0.010905,           0.0056836,             0.85692,             0.99252,             0.96137,             0.52797,            0.034881,           0.0057142,           0.0037492,             0.00703,             0.00703,             0.00703
                  32,            0.039179,            0.011095,           0.0053475,             0.82538,             0.91804,             0.91703,             0.47982,            0.039598,           0.0057655,           0.0038179,            0.006931,            0.006931,            0.006931
                  33,            0.039368,            0.011365,           0.0055646,              0.8201,             0.97607,             0.95461,             0.58517,            0.032418,           0.0055354,           0.0038482,            0.006832,            0.006832,            0.006832
                  34,            0.038358,            0.010144,           0.0054074,             0.93759,             0.98987,             0.97325,             0.57174,            0.034415,           0.0055005,           0.0038588,            0.006733,            0.006733,            0.006733
                  35,            0.037022,           0.0098258,               0.005,             0.91716,             0.99069,              0.9744,             0.58245,            0.032516,           0.0056508,           0.0037644,            0.006634,            0.006634,            0.006634
                  36,            0.038847,            0.011317,           0.0052599,             0.90043,             0.95611,             0.97891,             0.61498,            0.030885,           0.0056006,           0.0037358,            0.006535,            0.006535,            0.006535
